"shapeid","x","y","field_1","field_2","field_3"
"2930","77.668203741749","13.0309525551546","13.0309525551546","77.668203741749","Sun_Shine_School"
"2931","77.6606768067133","13.0263596119139","13.0263596119139","77.6606768067133","Horamavu"
"2932","77.6557891480101","13.0194557717373","13.0194557717373","77.6557891480101","Horamavu_Signal"
"2933","77.6480188084067","13.0126420202951","13.0126420202951","77.6480188084067","Banasawadi"
"2934","77.62096","12.9974","12.9974","77.62096","Cocks_Town"
"2935","77.6796404429977","13.040352888016","13.040352888016","77.6796404429977","K_Channasandra"
"2936","77.66351684","13.0133785028","13.0133785028","77.66351684","B_Channasandra_bridge"
"2937","77.6927342792168","13.0242019284695","13.0242019284695","77.6927342792168","Ananda_Nagara"
"2938","77.686675977678","13.0617648619635","13.0617648619635","77.686675977678","Annagalpura_Cross"
"2939","77.633927605679","13.027457194435","13.027457194435","77.633927605679","Hennuru_Junction"
"2940","77.654671","13.019636","13.019636","77.654671","Horamavu_Petrol_Bunk"
"2941","77.6603092581254","13.0171664173236","13.0171664173236","77.6603092581254","Vijaya_Bank_Colony"
"2942","77.6633294206","13.0038755201","13.0038755201","77.6633294206","Kasturi_Nagara"
"2943","77.7848161899146","13.0513250537734","13.0513250537734","77.7848161899146","Pettanahalli_Cross"
"2944","77.7977316889478","13.0458760916988","13.0458760916988","77.7977316889478","Ganaglu"
"2945","77.7930973200697","13.0318728674837","13.0318728674837","77.7930973200697","Poojena_agrahara"
"2946","77.8130198177","13.0088287219","13.0088287219","77.8130198177","Bisanahalli"
"2947","77.7997222636","12.9993214644","12.9993214644","77.7997222636","Naduvatti_Colony"
"2948","77.64294523396","13.01568897644","13.01568897644","77.64294523396","Babasab_Palya_80_Feet_Road"
"2949","77.6412212679741","13.0274548843119","13.0274548843119","77.6412212679741","Chalekere"
"2950","77.637008","13.026072","13.026072","77.637008","Jn_of_Ring_Road_Kalyan_Nagara"
"2951","77.642468","13.013835","13.013835","77.642468","Babusab_Palya_80_Feet_Road"
"2952","77.649954","13.025921","13.025921","77.649954","Mariyamma_Layout"
"2953","77.6654984615423","13.0383068060653","13.0383068060653","77.6654984615423","Banjara_Layout"
"2954","77.6679261787845","13.0396323449309","13.0396323449309","77.6679261787845","Om_Shakthi_Temple"
"2955","77.7814171091","12.9859183822","12.9859183822","77.7814171091","Thirumalashettyhalli_Cross"
"2956","77.7917155496677","12.9799440800235","12.9799440800235","77.7917155496677","Samethanahalli"
"2957","77.8025885490791","12.9788491531621","12.9788491531621","77.8025885490791","Bhodana_Hosahalli"
"2958","77.816638","12.976831","12.976831","77.816638","Dunnasandra"
"2959","77.8206112324125","12.9760061588522","12.9760061588522","77.8206112324125","Dunnasandra_Cross"
"2960","77.8160793290708","12.9589782506705","12.9589782506705","77.8160793290708","Anugondana_halli_Cross"
"2961","77.8242915550896","12.9562436980854","12.9562436980854","77.8242915550896","Obalapura"
"2962","77.8302375445544","12.9529013476216","12.9529013476216","77.8302375445544","Medi_Mallasandra"
"2963","77.8339550767106","12.9474789114918","12.9474789114918","77.8339550767106","Matta_mallasandra"
"2964","77.8369040124311","12.9421866191487","12.9421866191487","77.8369040124311","Arehalli_Cross"
"2965","77.8410357111947","12.9328925191949","12.9328925191949","77.8410357111947","Kallukunte_Agrahara"
"2966","77.8501946720633","12.927472963626","12.927472963626","77.8501946720633","Shiva_Ittige_Factory"
